1000 10000
612 434 190
417 447 599
606 992 381
149 61 689
40 743 116
891 352 247
502 340 975
659 834 906
333 539 658
210 733 289
260 515 620
330 945 688
746 320 131
814 291 702
911 404 251
671 874 223
651 991 78
912 530 812
580 76 250
185 184 827
23 60 298
568 709 523
258 368 154
908 102 933
238 723 591
389 523 93
339 311 987
47 661 729
645 390 969
707 517 421
252 330 254
987 209 612
910 236 864
816 235 755
616 648 444
957 13 138
282 609 962
450 368 400
939 637 90
358 604 756
761 508 30
709 462 724
624 418 667
281 132 531
100 917 827
617 894 305
486 188 102
239 640 653
718 590 334
870 177 79
310 752 558
76 658 966
438 611 567
930 951 360
890 642 538
827 168 118
477 282 462
470 150 207
795 599 180
896 436 153
880 94 97
58 533 890
880 941 440
556 639 111
130 462 768
493 717 73
180 426 776
69 93 991
814 690 337
876 307 179
105 604 461
887 877 529
585 820 1013
328 379 490
659 520 364
853 829 913
300 733 217
778 482 974
385 881 327
885 701 626
331 385 568
514 803 282
846 776 770
420 246 79
709 904 898
62 103 708
749 994 825
471 50 309
316 164 516
920 539 903
752 230 788
870 120 480
803 529 384
299 719 708
902 459 856
651 304 439
433 303 400
499 527 933
311 600 165
296 859 841
348 440 180
676 373 326
429 844 935
814 676 947
22 77 995
366 986 600
924 974 138
515 376 788
876 79 395
79 300 690
106 939 643
948 589 161
17 680 573
676 783 619
807 352 177
332 323 789
96 571 86
232 682 528
250 306 263
853 787 529
342 124 549
188 107 510
263 984 395
2 692 655
455 49 345
834 799 288
914 639 895
587 728 218
148 437 410
294 205 468
679 720 355
532 858 758
884 415 122
722 561 720
4 70 852
811 170 85
190 794 94
841 239 150
952 537 258
661 930 937
835 301 256
244 575 654
22 817 793
304 740 887
459 676 419
449 569 48
306 820 423
56 259 772
660 575 82
50 969 677
816 227 186
171 874 584
642 474 68
280 477 632
253 270 433
812 654 566
416 404 791
499 461 126
356 595 87
345 381 156
766 125 545
445 208 418
3 114 919
144 727 991
715 39 610
649 944 469
525 747 1005
959 245 493
63 407 520
69 982 415
254 888 423
814 105 503
471 705 375
792 940 951
746 941 51
286 80 780
703 314 903
873 457 235
532 252 373
350 43 469
537 931 106
142 678 652
681 3 821
387 526 251
815 97 453
433 565 14
296 742 92
815 588 711
738 47 885
395 115 236
462 923 1015
300 208 211
815 560 930
931 559 355
214 908 885
435 775 201
647 129 827
989 895 405
166 816 903
25 839 890
264 401 432
858 769 857
607 543 764
276 330 329
314 497 478
991 544 700
137 832 384
987 568 807
936 256 539
972 357 690
789 199 154
722 38 463
626 808 560
676 653 790
716 476 720
226 964 777
227 751 712
660 459 498
317 300 881
477 266 520
615 912 635
425 465 795
154 42 809
579 318 271
733 709 641
731 541 397
510 517 756
88 16 281
717 842 812
647 49 163
581 61 396
127 795 893
117 252 236
216 809 861
791 706 69
99 301 800
511 953 275
72 608 389
761 566 722
462 852 144
180 789 297
958 149 507
16 186 564
101 763 735
415 963 998
234 883 667
926 818 421
849 123 232
962 288 100
418 73 562
159 434 429
407 221 156
552 552 51
654 727 255
45 780 918
761 283 914
724 385 923
864 937 981
286 770 121
597 141 180
519 543 244
198 91 389
287 389 912
675 574 261
98 935 148
595 146 284
643 406 514
802 499 923
169 727 623
968 635 45
841 345 572
674 889 726
423 324 41
406 836 640
413 732 736
307 641 700
148 531 789
17 225 49
579 5 183
3 460 828
634 37 469
132 969 434
196 123 147
61 888 430
702 373 561
881 153 938
586 854 1017
396 451 840
717 551 386
521 715 369
982 38 958
939 313 942
208 914 472
395 738 315
730 156 970
229 26 686
847 750 804
673 115 417
275 96 220
204 998 180
254 409 957
970 867 1018
271 97 797
723 789 868
756 726 825
177 967 165
200 905 503
783 259 225
95 606 347
192 446 495
618 401 161
72 342 99
85 940 86
8 947 553
164 464 620
512 520 667
823 586 985
771 953 568
654 290 199
610 129 396
245 410 991
999 255 503
193 951 436
90 764 191
356 296 573
216 894 67
575 46 864
486 884 475
686 93 658
285 314 537
498 55 648
83 756 452
198 487 920
300 170 331
177 35 319
764 609 462
92 830 385
871 725 183
742 13 531
911 815 55
482 381 376
703 919 410
77 908 487
489 34 265
980 361 222
593 114 484
888 112 822
507 955 622
552 654 350
226 864 797
703 235 827
348 394 596
243 533 179
51 888 605
73 92 632
214 91 906
362 980 344
582 444 451
643 626 98
390 28 50
454 711 430
525 164 370
775 843 943
160 575 911
60 507 448
756 822 702
669 435 498
104 634 747
562 430 786
169 630 169
248 969 676
914 487 711
25 392 878
118 634 555
176 996 188
201 894 66
510 98 67
421 309 501
373 881 172
681 613 275
486 553 193
771 888 133
161 812 408
169 341 56
842 967 129
62 158 859
906 139 733
298 276 442
746 270 86
475 110 17
874 634 826
874 37 690
540 851 711
472 601 48
560 379 455
629 308 595
77 221 102
917 430 611
761 259 963
951 703 907
647 138 617
701 929 254
75 687 596
266 291 475
203 164 424
934 768 981
121 166 5
16 236 195
988 153 619
766 894 942
496 405 329
613 738 419
412 666 211
701 55 892
581 79 801
11 166 431
132 53 608
887 464 112
144 943 475
82 134 325
852 902 121
126 739 109
196 142 10
993 330 647
451 39 444
41 898 1007
584 661 214
682 512 598
817 943 231
38 518 58
991 664 672
208 550 886
426 72 703
341 448 988
300 374 544
363 644 302
328 753 615
828 355 698
862 494 243
346 276 982
240 508 45
652 866 996
524 989 205
587 794 653
492 547 398
75 769 550
752 967 421
775 196 891
539 786 201
577 232 338
279 532 590
788 369 764
986 962 860
189 332 381
970 225 68
366 945 848
184 887 452
683 861 374
458 869 854
947 661 758
78 751 439
623 599 122
163 91 686
261 152 248
600 141 554
530 225 318
511 552 431
291 422 359
974 929 801
672 911 164
164 796 581
715 944 852
516 194 487
757 997 80
90 723 838
364 399 951
880 758 481
193 599 738
342 343 38
139 628 534
106 921 10
572 38 400
127 469 551
912 836 659
387 931 167
946 966 315
192 173 169
33 2 910
709 18 613
657 829 920
118 268 352
400 110 205
830 156 786
18 578 811
594 952 746
834 747 779
710 716 888
272 977 174
208 812 309
211 253 290
675 228 550
213 519 56
44 468 890
470 230 172
522 387 816
99 131 942
262 856 952
465 758 939
868 617 168
431 639 267
421 209 606
667 502 939
813 714 661
905 380 636
629 732 690
982 450 43
927 853 214
602 219 775
433 557 211
745 566 929
395 932 275
339 896 301
510 340 887
168 692 581
651 76 191
284 383 677
396 57 798
999 258 823
192 955 740
22 276 618
250 948 964
657 870 72
713 29 436
122 616 844
231 220 364
864 865 441
956 471 774
394 719 822
230 255 187
999 976 180
923 403 812
29 768 328
772 912 151
574 305 494
18 442 854
795 658 406
11 900 996
992 659 282
854 321 931
792 880 234
404 463 37
93 870 99
720 588 680
623 639 471
262 941 304
880 203 410
638 824 164
503 139 896
9 231 338
606 145 342
173 487 866
865 311 82
778 20 547
677 107 669
313 551 421
416 895 671
540 862 126
764 948 949
874 409 206
508 562 334
657 977 510
470 583 536
214 333 511
781 70 473
322 93 183
798 231 894
552 881 997
372 553 114
103 999 2
447 576 205
789 271 557
636 876 709
795 760 735
912 402 236
733 832 637
142 62 940
138 239 422
401 487 126
572 672 933
582 482 510
225 548 529
882 441 86
570 543 44
447 838 478
816 401 948
933 564 347
32 682 460
966 439 352
23 927 794
998 240 1009
760 132 785
172 999 979
712 965 1004
275 49 240
399 516 245
922 782 179
754 556 159
476 810 269
103 228 128
240 453 698
182 484 381
522 780 381
56 597 761
916 807 811
316 394 496
580 590 870
455 595 34
882 115 132
995 644 292
469 470 136
809 982 687
518 35 797
532 454 609
541 750 797
100 966 513
565 484 844
648 419 384
520 690 106
606 161 231
927 801 752
704 679 935
817 788 841
420 391 369
59 975 388
860 761 223
325 813 803
918 317 306
487 478 248
232 26 38
463 181 567
215 597 937
864 696 1004
919 12 821
336 952 659
505 579 704
186 357 68
595 407 905
473 562 682
476 469 639
29 856 699
226 957 572
822 308 530
779 526 66
608 175 426
671 633 691
399 76 286
195 613 232
364 731 130
105 59 1009
247 417 465
480 46 465
969 520 536
316 2 190
366 378 442
432 433 281
649 970 140
62 668 658
538 212 227
499 11 923
188 526 382
411 858 588
6 750 298
509 489 507
72 270 22
704 647 73
776 750 296
757 749 849
644 116 525
459 4 717
260 305 253
633 310 883
855 644 19
617 214 579
755 109 438
103 495 929
54 708 866
686 354 435
725 180 514
75 67 470
22 318 419
780 608 310
188 48 51
483 936 593
542 396 561
477 713 916
347 558 496
334 702 774
853 65 496
732 265 22
584 345 734
167 883 552
39 950 450
96 939 13
55 958 857
374 523 470
744 309 489
417 748 86
204 330 366
868 281 881
223 824 478
724 255 611
503 616 734
559 347 760
531 224 674
142 838 671
126 120 458
710 403 329
161 530 963
686 649 976
964 788 479
742 574 368
269 607 532
919 246 818
311 518 860
943 93 889
62 434 449
792 995 333
258 291 608
363 685 371
340 210 698
763 92 487
81 136 163
257 39 431
980 346 996
101 477 940
37 274 198
270 348 803
240 22 728
184 363 797
854 154 866
360 4 732
596 778 648
699 236 424
914 133 123
110 366 674
975 997 816
253 963 19
781 247 948
645 678 978
77 133 448
479 146 423
444 465 901
195 89 599
937 842 517
972 447 827
837 177 608
298 739 305
812 141 778
173 124 185
606 325 703
380 80 544
230 540 185
939 704 557
707 895 206
736 214 311
715 323 544
349 985 333
698 619 730
487 712 896
554 93 860
960 449 627
873 820 17
489 116 758
794 949 497
21 952 465
274 785 13
788 925 1003
380 95 525
567 804 664
65 906 961
744 873 154
318 117 968
853 418 311
515 419 992
246 921 676
373 16 552
131 596 817
506 615 458
155 348 550
634 875 907
551 751 601
174 909 517
292 677 448
828 376 139
485 729 1012
587 83 96
757 866 509
510 812 405
920 88 223
155 92 295
730 119 843
978 715 411
827 582 526
334 6 742
518 331 470
510 528 80
156 445 48
463 649 525
91 506 542
272 346 659
251 513 254
933 986 852
559 584 728
364 860 600
160 567 352
78 974 649
410 713 994
264 672 248
852 457 58
435 511 951
743 791 888
325 707 613
508 549 843
426 815 29
196 392 64
222 326 483
662 886 202
438 160 470
903 764 972
120 163 563
127 928 790
388 327 607
502 972 677
890 476 639
739 1 967
897 187 990
915 863 358
947 49 210
501 763 425
117 10 611
789 946 288
273 444 53
67 204 934
841 151 670
727 325 40
623 132 962
966 173 360
753 547 895
827 269 709
794 331 218
976 498 27
774 6 374
246 447 339
685 380 291
107 408 500
705 725 356
192 100 383
458 538 411
321 625 775
789 816 78
984 243 835
564 769 875
121 354 1007
20 553 957
353 957 356
697 845 981
646 320 633
278 443 983
336 198 744
579 348 486
382 967 155
785 375 489
244 586 998
592 651 409
655 816 37
649 753 608
745 276 868
918 477 74
718 539 184
385 510 993
730 479 150
511 488 88
2 554 793
643 768 481
271 378 131
237 351 374
181 381 915
159 166 290
882 483 535
91 464 645
953 717 993
887 11 485
365 904 1021
473 48 942
183 648 788
453 545 362
968 672 192
68 821 434
79 335 342
325 324 428
188 303 27
455 346 384
810 600 149
192 255 263
181 985 419
128 583 348
984 846 627
735 306 318
468 141 562
906 729 924
304 406 98
788 422 98
889 715 371
620 127 588
193 574 447
439 739 869
579 557 634
171 928 1017
999 999 852
440 60 755
148 843 502
635 354 207
82 766 425
721 987 1013
463 237 969
754 376 682
846 717 873
658 378 250
360 62 890
184 664 43
847 125 176
151 978 547
255 402 901
457 468 490
617 839 446
161 801 82
636 295 327
225 80 825
935 731 822
832 650 268
591 22 706
382 278 651
455 802 405
252 53 261
471 482 755
893 423 70
530 581 973
869 691 483
507 469 666
748 816 229
308 501 99
267 848 982
146 505 321
637 286 894
105 711 317
472 677 224
162 106 903
943 531 1007
87 826 71
482 435 584
681 604 267
717 124 576
231 94 434
295 561 682
642 69 832
546 333 233
153 448 45
934 204 907
197 252 43
698 43 713
665 895 520
260 708 963
716 183 117
332 654 446
820 236 974
201 474 970
762 189 734
279 837 42
222 82 35
915 28 35
885 789 183
553 488 292
834 253 86
75 828 291
338 198 168
932 584 658
240 742 609
188 404 1000
676 73 924
713 24 15
669 639 747
666 545 681
623 38 744
926 175 630
940 105 582
537 786 845
936 349 454
753 737 980
67 158 938
162 679 174
407 525 278
454 19 406
973 355 39
941 475 955
251 909 569
315 378 809
363 450 359
77 193 316
535 895 418
937 248 216
460 992 495
116 327 432
603 138 813
197 327 95
256 258 197
576 345 963
84 118 984
238 734 32
222 439 790
656 720 850
852 537 471
27 486 937
467 804 636
697 35 368
952 561 940
350 458 352
305 257 335
954 606 147
508 134 419
758 476 199
969 260 22
631 126 635
4 219 821
989 61 1003
468 836 295
208 172 100
701 805 767
246 332 203
281 346 173
989 469 298
271 545 963
595 80 407
571 284 886
470 735 114
483 802 731
516 433 650
688 980 990
179 208 24
501 576 957
499 272 889
388 30 241
282 763 916
889 788 482
688 802 287
449 654 165
221 818 116
828 709 746
624 905 296
614 702 853
463 976 126
121 114 855
925 119 1017
44 498 528
590 924 607
557 546 212
759 262 946
467 19 953
214 53 159
754 938 850
981 878 371
387 428 141
180 74 852
299 278 136
745 753 493
445 193 90
258 391 931
820 177 854
701 216 985
477 375 299
332 778 62
22 914 464
768 829 303
188 699 494
267 311 532
543 215 910
659 119 731
982 56 971
190 574 264
935 446 128
100 276 754
822 522 926
339 448 877
480 883 738
140 711 875
892 497 415
347 976 819
402 213 426
666 778 426
298 555 406
49 647 638
190 323 13
236 295 282
238 710 318
511 979 597
411 698 414
994 544 495
538 218 894
966 293 460
240 879 365
249 156 726
467 323 642
684 765 923
334 410 565
653 642 978
764 131 674
284 415 871
658 908 523
745 272 77
406 585 19
483 642 569
475 412 513
459 220 879
25 812 14
772 342 847
603 998 940
647 47 945
149 169 661
632 467 1021
835 603 345
731 717 900
710 532 589
196 231 291
216 738 914
488 920 385
516 573 932
734 548 648
251 95 1018
681 683 637
475 382 170
330 132 684
908 631 977
142 918 847
400 325 704
565 226 466
389 718 645
370 168 290
719 1 965
893 648 863
1000 68 931
37 506 16
872 189 778
641 376 135
851 17 264
989 957 832
613 808 17
185 946 512
880 59 843
688 942 455
260 585 924
863 463 425
568 84 631
81 323 381
511 593 247
122 284 411
10 947 234
477 301 108
202 989 33
18 325 1012
601 516 709
710 710 266
140 93 249
164 370 561
821 210 777
28 919 149
394 562 663
948 123 815
992 488 23
529 475 194
739 633 747
381 915 144
147 390 180
411 719 717
310 695 711
532 582 53
632 639 649
883 998 315
532 921 338
78 646 209
255 469 1003
613 614 233
536 676 601
65 381 385
612 990 228
837 504 643
219 756 933
807 21 232
523 651 487
149 244 515
141 60 157
540 743 44
454 173 873
446 523 953
940 469 505
864 734 369
378 547 449
505 695 633
498 502 624
105 323 67
965 111 215
270 719 171
658 206 837
793 328 443
94 644 717
352 401 444
684 212 661
754 556 917
576 426 260
691 666 748
106 187 461
284 686 887
668 923 679
756 927 541
372 200 591
326 860 561
360 188 195
960 272 867
567 202 316
725 409 21
223 83 523
653 990 344
480 86 422
798 609 416
672 134 258
539 776 523
598 923 264
393 80 933
548 556 772
20 720 555
549 877 612
828 955 504
778 417 1010
85 362 935
73 574 85
840 847 709
521 243 672
144 596 711
152 509 494
289 487 321
182 503 540
796 958 645
655 233 87
498 874 207
892 541 539
316 404 413
546 928 39
225 222 652
479 896 294
456 532 546
591 810 639
185 372 546
524 984 892
851 350 899
600 353 458
265 456 265
69 199 850
839 254 998
134 912 297
262 641 655
635 768 402
237 835 467
991 665 743
977 881 523
594 419 992
737 832 613
29 842 359
118 75 19
367 719 909
295 909 557
150 19 152
106 38 299
852 361 162
16 2 660
23 863 52
295 516 366
2 660 697
650 377 753
184 894 484
842 643 170
743 536 731
167 500 767
64 564 233
527 78 538
42 776 829
844 278 710
749 115 619
527 142 258
648 342 364
499 810 482
688 29 4
488 873 997
204 790 678
575 810 833
794 914 1010
588 580 372
451 960 703
370 325 878
537 802 99
36 529 642
821 318 760
692 79 8
851 656 808
544 514 1002
362 767 225
162 920 785
681 19 848
593 2 321
690 15 642
24 198 167
74 327 243
350 613 244
173 793 628
207 29 369
448 283 771
353 273 419
494 975 337
857 87 469
967 703 65
92 179 622
517 17 124
70 250 417
190 372 413
123 713 795
37 128 88
650 46 460
696 701 992
831 368 425
5 823 614
544 84 114
37 36 684
388 104 332
546 944 367
60 31 682
616 487 691
849 451 63
615 913 129
593 290 487
841 311 441
672 489 33
293 986 82
342 822 68
431 851 526
665 350 506
598 916 700
538 210 277
41 526 838
875 698 519
545 389 604
414 736 267
336 49 664
72 961 975
655 502 338
876 445 246
825 558 881
274 709 159
79 499 874
944 571 290
653 269 333
334 675 224
541 551 122
61 896 23
453 883 588
542 674 660
203 436 888
340 191 76
369 891 661
597 374 951
481 657 842
380 619 139
917 571 380
689 261 236
529 789 635
891 28 571
170 867 207
513 364 824
606 543 368
952 829 647
287 810 192
271 820 1010
82 274 875
292 3 736
43 821 818
932 523 249
892 462 793
144 290 765
667 932 21
491 63 164
378 774 987
703 697 965
527 80 902
144 737 940
660 335 912
939 989 873
304 248 812
310 616 26
537 155 286
907 414 288
911 893 387
446 467 217
839 283 951
291 295 935
839 250 649
816 855 705
680 363 201
372 247 978
806 373 386
953 953 261
972 627 190
627 590 392
84 32 43
314 880 479
942 593 202
728 555 173
352 77 570
331 926 175
480 13 809
230 352 457
466 742 459
804 757 462
738 72 928
22 353 867
873 402 739
368 755 227
410 232 344
832 748 734
767 563 94
282 20 817
850 56 407
434 505 609
686 671 140
68 638 758
896 720 936
765 613 693
513 147 412
64 798 460
534 670 401
168 763 750
835 107 653
639 747 15
72 595 135
286 399 957
83 831 401
66 597 865
943 914 10
841 836 558
683 849 561
11 781 654
431 887 751
867 940 749
573 388 986
234 318 48
28 172 416
150 211 566
100 748 295
617 539 211
745 465 529
598 508 719
129 484 604
768 188 697
327 204 183
415 413 37
798 275 452
529 845 694
924 690 886
914 261 160
341 248 209
225 918 557
626 883 362
560 658 12
976 596 79
640 52 770
65 675 203
377 903 268
138 593 529
660 960 892
470 218 511
996 594 619
109 90 335
162 165 863
521 960 272
165 179 474
245 436 693
149 192 422
477 933 1019
126 813 614
848 957 594
770 95 478
580 837 936
546 127 186
50 901 825
418 462 258
500 986 355
209 305 152
186 369 929
942 261 128
702 967 170
529 9 772
318 500 155
219 878 139
825 942 549
432 398 749
579 474 258
555 199 1000
71 637 658
644 170 395
798 996 506
662 787 290
428 986 143
93 325 519
376 64 876
951 87 195
904 389 813
888 881 976
316 134 335
612 382 94
718 825 214
715 674 665
748 448 688
112 502 228
910 441 763
612 508 534
285 989 1022
172 229 153
35 13 267
422 344 860
678 159 900
719 794 166
19 649 806
781 525 770
500 832 251
916 46 124
428 841 519
202 89 219
165 304 49
884 3 838
351 418 66
982 34 791
757 723 918
2 999 382
300 612 484
778 964 144
74 465 234
898 566 705
49 974 437
550 317 830
633 328 400
903 80 1014
731 464 678
894 383 1010
575 832 501
977 509 641
796 206 94
874 584 647
118 189 45
591 272 192
271 296 377
19 751 49
374 704 179
638 869 373
674 437 161
704 506 498
37 632 580
490 584 546
497 250 672
528 683 741
57 59 961
426 801 894
128 506 602
964 448 433
698 155 101
10 945 344
690 135 331
517 647 1
430 685 283
180 996 741
465 240 372
173 934 561
234 710 346
21 543 1018
55 908 836
220 612 214
920 865 814
418 737 214
126 905 166
740 151 585
425 137 534
250 958 377
415 50 993
580 254 637
895 117 1001
782 911 196
376 407 602
306 28 682
725 80 959
153 976 433
140 590 397
400 199 829
812 283 10
753 93 1013
269 605 554
53 404 58
806 331 331
527 389 990
441 315 801
983 151 608
455 246 124
270 273 436
331 92 916
414 991 760
27 648 877
504 788 566
168 365 140
981 169 551
158 51 443
874 805 919
418 3 498
121 536 416
595 360 779
997 994 14
692 150 528
1 158 372
669 529 256
418 360 366
30 386 869
329 302 1
771 983 824
814 449 362
825 808 235
506 400 242
439 388 63
602 886 881
596 205 357
733 484 280
295 318 352
226 473 386
404 351 593
231 945 759
851 417 755
195 629 256
535 359 1000
503 236 911
43 653 896
6 465 180
883 619 155
826 523 699
485 93 315
344 69 930
878 831 595
93 577 220
591 343 863
200 91 181
359 174 550
62 186 75
692 148 900
931 976 368
545 78 771
774 898 890
545 99 148
196 964 342
17 60 989
161 159 959
532 393 848
391 930 202
758 130 384
899 90 629
501 64 277
545 497 849
833 685 1006
810 974 649
195 238 187
881 1 591
498 333 828
560 160 1020
765 916 577
719 308 214
117 153 765
176 883 913
130 455 40
546 441 343
578 496 741
992 242 36
460 723 363
250 288 775
781 716 277
958 239 897
750 110 264
265 211 731
889 964 322
684 324 1009
283 692 282
630 342 255
607 568 166
344 499 792
204 62 995
98 732 539
77 347 868
981 438 568
800 489 217
921 976 912
606 684 864
680 744 657
326 251 679
219 678 461
893 825 55
250 359 46
129 965 18
67 318 901
756 881 285
222 590 784
611 232 339
916 63 307
10 787 641
1000 845 163
771 852 819
948 525 326
268 411 890
162 465 342
153 586 213
630 160 811
335 67 226
596 980 230
502 691 679
525 68 999
393 522 983
825 969 902
171 273 547
71 926 774
273 259 166
570 711 252
533 449 687
597 734 706
847 9 35
683 574 465
549 945 662
349 554 924
466 635 407
348 872 988
20 477 303
162 427 527
8 960 618
883 792 729
265 393 133
178 27 67
500 997 791
602 256 341
271 731 203
236 948 576
219 64 477
574 948 1011
805 512 313
206 523 772
342 621 665
47 134 989
879 254 980
2 917 822
734 643 667
553 904 134
462 881 886
18 549 337
435 582 1022
349 204 245
536 69 985
260 975 659
421 247 21
829 764 576
658 485 305
705 347 600
753 577 524
544 139 524
978 985 915
835 90 889
689 741 46
538 444 521
911 296 994
31 567 161
806 330 450
770 92 924
796 529 472
116 163 492
92 629 800
159 562 828
469 458 803
711 684 185
732 672 357
14 345 641
498 562 913
842 136 865
291 578 653
78 291 877
442 492 335
62 327 268
856 633 178
124 996 15
607 404 273
423 730 469
134 929 758
825 550 380
858 234 528
741 860 471
831 578 374
917 833 468
852 192 574
488 53 216
334 83 296
669 197 690
566 135 403
209 111 130
187 721 423
865 411 134
521 274 490
863 188 687
426 419 733
345 67 422
626 11 872
175 684 358
735 229 613
363 685 944
654 119 731
538 114 379
651 32 1013
111 699 267
348 356 418
975 469 794
97 220 638
445 152 221
803 147 802
864 831 948
291 93 586
142 197 720
663 37 194
794 226 146
210 952 274
349 311 766
723 559 491
613 823 327
669 647 530
319 342 352
536 424 149
260 817 566
107 990 279
295 711 410
607 111 271
738 609 430
976 740 643
11 913 598
555 263 770
14 341 358
807 327 899
962 32 309
605 325 617
515 948 564
421 51 298
904 839 485
961 165 308
942 570 94
200 416 760
35 527 920
735 223 868
490 302 368
603 710 386
439 375 154
486 701 998
199 100 578
931 913 522
277 206 57
125 121 79
68 751 280
464 519 217
945 240 1013
198 948 630
251 298 510
690 543 61
110 161 673
741 368 163
192 584 178
638 636 442
999 622 935
995 537 623
783 717 718
47 861 118
139 500 2
911 21 972
123 747 595
544 930 5
706 336 43
69 135 296
530 579 394
855 930 754
455 220 1021
187 523 24
632 111 779
897 353 237
514 174 149
804 712 629
148 967 704
264 775 182
830 979 376
148 558 1022
313 564 966
691 212 491
750 429 776
207 782 39
26 875 516
248 270 1017
792 215 69
268 314 772
548 332 172
50 903 910
219 402 161
914 603 844
456 855 183
788 636 11
712 999 238
932 389 22
527 553 164
673 618 285
439 698 317
325 111 391
340 717 552
418 842 312
190 708 665
86 215 583
686 277 853
561 208 952
951 80 25
834 497 108
964 419 693
917 172 891
818 857 959
749 379 995
364 838 832
15 599 643
858 703 880
100 658 652
989 581 620
534 326 437
121 962 959
416 535 235
952 248 901
384 206 847
527 692 585
530 214 333
18 636 838
557 766 332
465 558 1023
797 826 341
29 103 850
387 22 43
663 928 964
633 505 468
986 219 194
589 628 503
2 358 879
353 809 819
51 850 172
592 178 360
615 369 659
6 834 577
462 389 306
335 429 840
580 784 920
812 917 727
998 259 134
63 125 358
676 477 803
342 451 847
116 309 685
504 10 166
464 672 296
917 553 309
445 436 602
336 120 182
871 686 731
142 172 508
540 129 41
764 527 907
845 66 314
392 56 861
177 994 598
829 870 269
723 426 656
195 403 37
97 10 784
539 659 153
80 996 322
354 512 659
175 716 356
841 304 452
422 452 563
83 902 860
192 133 120
87 149 457
266 600 421
380 174 581
84 94 882
576 365 870
166 536 948
274 360 762
707 564 415
274 843 318
227 57 977
747 941 128
972 975 222
518 376 829
563 474 944
585 320 116
378 487 775
304 849 184
247 219 698
375 123 26
643 771 74
645 579 151
937 860 35
515 532 561
262 105 908
563 950 724
557 431 423
713 357 873
453 10 850
94 565 914
259 665 329
801 482 831
934 515 655
56 47 434
383 489 616
482 823 934
232 481 674
461 909 915
27 957 935
87 746 873
15 834 488
835 195 96
167 618 116
6 264 228
448 108 85
709 386 359
262 53 337
26 369 636
146 836 641
455 697 965
77 337 375
262 949 192
860 109 166
147 919 735
602 264 308
678 333 1021
569 768 785
888 590 968
506 481 313
615 979 660
548 666 973
436 147 982
624 1 678
135 585 50
327 767 911
517 750 647
312 834 354
53 842 12
451 633 115
684 58 683
988 511 645
950 610 114
29 853 807
340 209 113
883 561 507
415 887 710
129 50 1007
812 865 269
504 983 742
618 676 402
69 812 291
724 598 461
717 456 955
315 261 71
44 683 630
963 682 99
347 764 852
530 676 876
772 955 559
532 115 726
159 192 657
239 506 979
733 676 461
560 934 699
857 603 677
323 358 269
265 500 319
148 384 609
233 988 781
449 5 636
839 1 121
119 250 504
363 185 808
564 830 302
773 277 436
204 935 346
847 975 1005
792 258 455
934 347 14
289 819 311
718 738 673
887 323 823
821 926 816
778 519 871
718 6 71
97 484 650
199 97 1016
32 525 210
933 779 250
97 556 474
729 330 782
472 326 942
9 191 424
109 214 705
682 213 671
659 372 283
657 875 113
394 334 56
223 543 59
999 881 335
931 118 727
277 506 482
699 939 214
902 463 278
694 467 684
415 588 796
932 668 249
442 30 228
464 402 396
267 109 341
801 746 347
984 83 42
651 860 715
491 482 789
958 858 629
158 547 768
585 61 254
350 692 716
650 818 228
236 55 944
407 120 909
523 55 925
150 410 133
930 876 47
182 34 886
128 555 314
711 553 707
155 685 342
71 938 553
880 798 650
793 986 312
207 681 237
261 790 245
146 118 456
774 77 55
154 847 254
545 221 578
977 963 41
2 840 161
801 694 876
761 505 699
62 594 954
510 150 128
639 285 397
387 305 333
814 48 574
465 85 222
979 855 85
334 837 227
60 762 501
192 669 153
99 379 421
176 161 53
630 488 161
497 253 796
83 461 386
12 929 99
157 713 527
846 581 134
464 804 585
465 461 460
637 711 569
504 140 208
33 616 932
297 690 71
765 203 544
84 543 645
452 740 650
915 139 812
131 217 993
443 3 91
468 980 937
502 231 589
557 135 16
283 390 744
734 193 1004
769 604 246
101 215 342
587 346 524
954 248 501
633 696 773
418 786 934
903 678 610
686 862 169
532 831 716
600 463 823
780 915 373
139 144 413
251 276 1008
293 961 121
966 777 484
338 810 928
88 891 116
791 794 414
722 576 629
424 969 427
739 442 486
789 744 276
824 926 108
402 886 159
672 337 684
722 209 536
873 864 614
265 395 58
943 298 118
474 771 743
668 40 167
334 358 747
466 686 18
964 928 470
53 542 222
279 553 1011
392 818 256
587 843 65
471 557 317
749 354 746
366 533 739
862 13 146
514 135 34
505 729 712
545 779 596
330 318 902
637 161 429
984 709 444
600 592 175
829 553 954
32 97 616
593 245 248
405 511 99
680 519 297
142 777 323
164 302 568
147 727 681
180 121 96
841 900 295
647 595 150
7 520 348
766 850 909
567 995 775
308 589 98
100 2 835
552 244 156
494 470 230
829 601 706
595 562 785
875 264 523
29 762 136
891 487 628
813 914 99
452 624 310
719 858 547
826 468 85
920 828 73
48 322 280
817 164 248
951 872 29
525 214 491
717 517 659
939 357 509
153 117 468
605 627 225
365 850 339
442 960 918
666 382 605
795 650 265
814 345 125
876 118 225
195 618 250
750 666 416
369 670 197
758 916 308
77 525 532
734 974 1002
817 630 831
31 719 818
450 378 425
633 521 435
663 731 740
147 91 39
88 99 602
233 853 980
275 984 670
731 607 208
520 879 486
878 206 610
496 745 361
907 319 712
996 842 295
247 480 240
468 910 821
395 17 722
607 490 1008
692 513 14
